Replicate,Watering,Phase,Variety,Leaf Water Potential,total leaf area (cm2),Leaf Canopy temp,Fv/Fm,Photosynthesis,Stomatal Conductance,Transpiration Rate,Water Use Efficiency,Green Leaf Dry Weight,Senesced Leaf Dry Weight,Stem Dry Weight,Total Shoot Dry Weight,Leaf Area Ratio,Specific Leaf Area,Specific Leaf Weight,Basal Fine Root Mass,Total Fine Root Mass,Coarse Roots Mass,Total Root Mass,Root:Shoot Ratio,Total Fine Root length (cm),Total Fine Root Surface Area (m2),Total Fine Root Volume (m3),Specific fine root length (m/g),Root tissue density (g/m3),Fine root length:Leaf area Ratio (cm/m2),root mass fraction
1,Deficit,drought,2789,-2,1029.74,35.7,0.80025,4.085606445,0.028250594,0.596158729,6.853219194,5.8861,1.5031,6.37,13.7592,61.41871298,0.017494436,57.16103094,2.3616,2.3616,0.6451,3.0067,0.218522879,67014.06969,908.6277264,0.365397496,275.375993,6.660001851,65.0786312,0.179334244
1,Deficit,drought,2778,-2.54,1157.64,34.8,0.78425,7.571341293,0.045834535,1.009449431,7.500466153,8.4066,5.8011,12.63,26.8377,29.46856091,0.013770609,72.6184306,5.2975,5.2975,7.1487,12.4462,0.463758072,59832.81598,796.9984567,0.154980622,111.5672758,34.60391327,51.68516636,0.316826995
1,Deficit,drought,Mara,-2,951.68,36.07,0.7815,3.121167665,0.029341598,0.574679314,5.431146707,6.9851,5.6769,7.34,20.002,34.12189053,0.013624429,73.39757061,4.0189,4.0189,3.8697,7.8886,0.394390561,64810.28039,870.9838982,0.288637483,157.8908168,14.22113633,68.10091669,0.282840814
1,Control,drought,4841,-0.86,2850.8,25.62,0.84075,28.93558146,0.448943302,5.521015635,5.240988864,14.6686,1.84,10.51,27.0186,82.29887181,0.019434711,51.45432861,4.0785,4.0785,3.5425,7.621,0.282064948,55546.82033,739.6696153,0.177797882,134.5756683,23.21486039,19.48464302,0.220008314
1,Control,drought,Mara,-0.29,3018.76,25.67,0.822,22.21926579,0.326895978,4.652066646,4.776213987,15.2216,2.1144,9.47,26.806,86.77714696,0.019832081,50.42335263,3.5153,3.5153,4.4662,7.9815,0.297750504,52155.74479,695.137866,0.179694861,146.4729321,19.81568627,17.27720812,0.229435861
1,Control,drought,2778,-0.74,3534.2,26.78,0.819,24.29419532,0.448079678,5.181601327,4.688549695,18.0056,0,15.24,33.2456,74.16065133,0.019628338,50.94674891,7.341,7.341,7.0694,14.4104,0.433452848,91270.1429,1212.835586,0.353383263,123.1081182,20.9795448,25.82483812,0.30238375
1,Control,drought,2789,-0.68,2588.97,27.02,0.8345,11.97400845,0.505481815,5.758249728,2.079452789,11.4956,0.48,8.96,20.9356,90.61277203,0.022521399,44.40221401,4.0881,4.0881,3.5481,7.6362,0.364747129,58720.69433,780.6060718,0.177283502,142.172424,23.29740188,22.68110265,0.267263526
2,Control,drought,2789,-0.56,2525.94,27.75,0.8225,36.61081664,0.726538365,9.428043342,3.883182895,12.6132,0.6722,8.98,22.2654,88.43925171,0.020026163,49.93467778,1.0938,3.4752,2.8207,6.2959,0.282766085,56914.8045,783.078348,0.23322085,493.6339048,4.943708945,22.53212844,0.220434644
2,Control,drought,2778,-0.88,2679.8,26.4,0.82325,26.02066618,0.415839494,6.374282158,4.082132786,16.4234,1.61,12.37,30.4034,59.33552537,0.016316962,61.28591686,2.0578,7.0408,7.7193,14.7601,0.485475309,108676.9464,1453.577743,0.313415695,151.974474,22.81634303,40.55412582,0.326814795
2,Control,drought,Mara,-0.77,3099.26,26.6,0.83675,20.85192458,0.244317801,4.286738707,4.86428635,17.296,1.09,9.44,27.826,84.79089949,0.017918941,55.80687003,1.0759,3.9558,4.77,8.7258,0.313584417,49213.87579,669.2612152,0.108697408,120.6569039,37.52461135,15.87923433,0.238724222
2,Control,drought,4841,-0.99,2727.95,25.36,0.8245,23.80205767,0.23598677,4.486758161,5.304956678,13.6675,2.35,10.57,26.5875,74.07774504,0.019959393,50.10172474,1.6079,5.0692,5.1688,10.238,0.385068171,89003.90621,1189.778147,0.181116325,173.1670656,28.37828679,32.62666332,0.278013876
2,Deficit,drought,4841,-2.68,815.4,34.17,0.79275,2.68015319,0.028017281,0.669034049,4.006004171,6.0747,4.12,5.59,15.7847,37.53590631,0.013422885,74.49963208,1.34,3.1051,2.8334,5.9385,0.376218743,73049.33612,994.500747,0.234627146,227.6467443,13.67655048,89.58711813,0.273371327
2,Deficit,drought,2778,-2.7,800.51,34.03,0.77375,6.954443779,0.041072272,0.926829824,7.503474315,6.8409,8.5716,11.51,26.9225,19.81632072,0.011701823,85.45677131,2.2563,6.2312,7.2428,13.474,0.500473582,73550.91097,1001.073682,0.264229203,114.8309313,24.24087852,91.88006518,0.333543748
2,Deficit,drought,2789,-2.2,1000.58,33.4,0.8045,6.085622938,0.039240339,0.855793806,7.111085512,7.4212,1.0895,5.68,14.1907,49.07979673,0.013482725,74.16898199,1.022,3.4791,2.717,6.1961,0.436631033,54682.27552,744.179535,0.144962824,152.4934501,24.73652824,54.65057819,0.303927051
2,Deficit,drought,Mara,-2,845.78,33.85,0.791,4.274497672,0.017346357,0.551703068,7.747822908,6.3512,4.9013,6.27,17.5225,35.2223416,0.013316854,75.09281373,0.5938,3.1582,3.3319,6.4901,0.370386646,55318.20527,,,,,65.40495787,0.270278937
