row,plant,mass,BER,fungus,cracking,penetrometer,sugar 1,sugar 2,sugar_avg,date_harvest,date_analysis,,
3,6,416.5,0,0,0,1.5,4.4,4.5,4.5,8/1/2024,8/5/2024,,
4,4,288.4,0,0,0,0.4,5.7,6.2,6.0,8/1/2024,8/5/2024,,
4,2,183.7,0,0,0,0.8,6.4,6.3,6.4,8/1/2024,8/5/2024,,
3,5,241.3,0,0,0,0.2,6.5,6.5,6.5,8/1/2024,8/5/2024,,
2,5,234.1,0,0,0,0.7,4.1,4.2,4.2,8/1/2024,8/5/2024,,
3,7,244.6,0,0,0,0.4,4.8,5.0,4.9,8/1/2024,8/5/2024,,
4,1,326.9,0,0,0,1.1,5.6,5.7,5.7,8/1/2024,8/5/2024,,
2,10,186.2,1,1,0,,,,,8/1/2024,8/5/2024,,
3,8,186.2,0,0,0,1.1,5.0,5.3,5.2,8/1/2024,8/5/2024,,
2,2,251.8,0,0,0,0.8,5.1,5.0,5.1,8/1/2024,8/5/2024,,
1,7,286.0,0,0,0,1.1,5.6,5.5,5.6,8/1/2024,8/5/2024,,
2,8,310.9,0,0,0,0.8,5.3,5.3,5.3,8/1/2024,8/5/2024,,
2,2,236.4,0,0,0,1.0,5.2,5.1,5.2,8/1/2024,8/5/2024,,
2,2,177.3,0,0,0,0.4,6.0,5.8,5.9,8/1/2024,8/5/2024,,
2,6,80.5,1,1,0,,,,,8/1/2024,8/5/2024,,
2,10,80.5,1,1,0,,,,,8/1/2024,8/5/2024,,
1,2,100.3,1,1,0,,,,,8/1/2024,8/5/2024, ,
1,9,46.2,1,1,0,,,,,8/1/2024,8/5/2024,,
1,4,103.0,1,1,0,,,,,8/1/2024,8/5/2024,,
1,9,106.7,1,1,0,,,,,8/1/2024,8/5/2024,,
2,5,263.8,0,0,0,1.0,4.6,4.4,4.5,8/9/2024,8/12/2024,,
1,5,170.8,0,0,0,1.0,4.8,4.7,4.8,8/9/2024,8/12/2024,,
4,3,224.2,0,0,0,0.2,5.2,5.5,5.4,8/9/2024,8/12/2024,,
3,11,27.7,1,1,0,,,,,8/9/2024,8/12/2024,,
4,4,161.6,1,1,0,,,,,8/9/2024,8/12/2024,,
3,11,16.9,1,1,0,,,,,8/9/2024,8/12/2024,,
2,7,223.2,0,0,0,0.8,5.5,5.7,5.6,8/9/2024,8/12/2024,,
3,3,339.1,0,0,0,0.9,4.3,4.2,4.3,8/9/2024,8/12/2024,,
4,2,216.8,0,0,0,0.8,6.4,6.6,6.5,8/9/2024,8/12/2024,,
3,4,282.0,0,0,0,0.9,6.3,6.3,6.3,8/9/2024,8/12/2024,,
3,4,327.0,0,1,1,0.8,5.8,5.7,5.8,8/9/2024,8/12/2024,,
4,1,334.0,0,0,0,1.1,5.7,5.7,5.7,8/9/2024,8/12/2024,,
4,1,344.3,0,0,1,1.3,5.6,5.6,5.6,8/9/2024,8/12/2024,,
2,7,68.6,0,0,0,1.0,4.8,4.6,4.7,8/9/2024,8/12/2024,,
4,1,212.7,0,0,1,0.8,6.0,6.0,6.0,8/9/2024,8/12/2024,,
1,6,203.9,1,1,0,,,,,8/9/2024,8/12/2024,,
2,4,114.3,1,1,0,,,,,8/9/2024,8/12/2024,,
1,12,111.8,1,1,0,,,,,8/9/2024,8/12/2024,,
1,7,104.4,1,1,0,,,,,8/9/2024,8/12/2024,,
2,4,271.6,0,0,0,0.8,6.0,6.2,6.1,8/9/2024,8/12/2024,,
2,5,195.5,0,0,0,0.8,5.1,5.1,5.1,8/9/2024,8/12/2024,,
2,5,249.3,0,0,0,1.0,4.6,4.5,4.6,8/9/2024,8/12/2024,,
4,11,101.9,1,1,0,,,,,8/9/2024,8/12/2024,,
3,12,160.6,1,1,0,,,,,8/9/2024,8/12/2024,,
2,1,219.9,1,1,0,,,,,8/9/2024,8/12/2024,,
3,2,117.6,1,1,0,,,,,8/9/2024,8/12/2024,,
3,5,297.9,1,1,0,,,,,8/9/2024,8/12/2024,,
1,5,108.9,1,0,0,,,,,8/9/2024,8/12/2024,,
4,12,329.7,1,0,0,,,,,8/9/2024,8/12/2024,,
1,5,131.1,1,0,0,,,,,8/9/2024,8/12/2024,,
3,7,159.3,0,0,0,0.9,5.6,5.4,5.5,8/9/2024,8/14/2024,,
1,8,147.9,0,0,1,1.1,5.9,5.9,5.9,8/9/2024,8/14/2024,,
3,7,232.2,0,0,0,0.8,5.9,6.0,6.0,8/9/2024,8/14/2024,,
2,9,331.5,0,0,1,1.3,5.5,5.3,5.4,8/9/2024,8/14/2024,,
2,11,185.3,0,0,0,1.0,6.9,6.9,6.9,8/9/2024,8/14/2024,,
1,6,195.3,0,0,0,1.2,6.4,6.5,6.5,8/9/2024,8/14/2024,,
2,10,152.0,0,0,0,1.1,7.2,7.3,7.3,8/9/2024,8/14/2024,,
3,5,333.7,0,0,1,1.0,7.2,7.4,7.3,8/9/2024,8/14/2024,,
4,4,349.4,0,0,1,1.0,6.3,6.3,6.3,8/9/2024,8/14/2024,,
2,9,245.0,0,0,0,1.2,6.2,6.5,6.4,8/9/2024,8/14/2024,,
3,8,118.1,0,0,0,1.6,7.4,7.5,7.5,8/9/2024,8/14/2024,,
2,10,280.9,0,0,1,1.0,6.9,6.6,6.8,8/9/2024,8/14/2024,,
1,7,222.0,0,0,0,1.0,6.3,6.2,6.3,8/9/2024,8/14/2024,,
1,10,112.5,0,0,0,0.3,7.0,7.4,7.2,8/9/2024,8/14/2024,,
2,2,238.6,0,0,0,1.2,5.5,4.9,5.2,8/9/2024,8/14/2024,,
1,6,149.6,0,0,0,0.8,6.0,6.0,6.0,8/9/2024,8/14/2024,,
1,6,146.5,0,0,0,1.0,6.5,5.7,6.1,8/9/2024,8/14/2024,,
1,3,107.6,0,0,1,1.0,6.0,6.1,6.1,8/9/2024,8/14/2024,,
1,6,148.9,0,0,0,1.3,6.1,6.0,6.1,8/9/2024,8/14/2024,,
1,1,355.7,0,0,0,0.2,5.6,6.2,5.9,8/9/2024,8/14/2024,,
1,5,138.1,0,0,0,1.0,6.5,6.3,6.4,8/9/2024,8/14/2024,,
1,9,230.0,0,0,0,1.0,6.6,6.8,6.7,8/9/2024,8/14/2024,,
1,7,228.3,0,0,0,1.0,7.2,7.0,7.1,8/9/2024,8/14/2024,,
4,9,329.2,0,0,0,0.8,6.3,6.4,6.4,8/9/2024,8/14/2024,,
2,9,178.4,0,0,0,1.2,6.8,6.6,6.7,8/9/2024,8/14/2024,,
